INFO 2025-06-03 10:26:15,583 basehttp 3744 1448 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:26:17,547 autoreload 3744 8892 D:\martin\Escritorio\Martin\curios_v0.1.1\curios_v0.2.5\curiosmaze_backend\evaluations\models.py changed, reloading.
INFO 2025-06-03 10:26:18,764 autoreload 12760 1944 Watching for file changes with StatReloader
INFO 2025-06-03 10:26:41,732 basehttp 12760 9912 "OPTIONS /api/evaluaciones/160/detalles/ HTTP/1.1" 200 0
INFO 2025-06-03 10:26:41,738 middleware 12760 6412 API: GET /api/evaluaciones/160/detalles/
INFO 2025-06-03 10:26:41,976 basehttp 12760 6412 "GET /api/evaluaciones/160/detalles/ HTTP/1.1" 200 2793
INFO 2025-06-03 10:26:42,067 basehttp 12760 9912 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:26:42,071 middleware 12760 6412 API: GET /api/language-selector-config/
INFO 2025-06-03 10:26:42,078 basehttp 12760 6412 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:26:42,097 basehttp 12760 12320 "OPTIONS /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 0
INFO 2025-06-03 10:26:42,100 middleware 12760 6412 API: POST /api/evaluaciones/160/inscribir/
INFO 2025-06-03 10:26:42,121 basehttp 12760 6412 "POST /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 72
INFO 2025-06-03 10:27:31,668 basehttp 12760 12320 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:27:31,670 middleware 12760 6412 API: GET /api/language-selector-config/
INFO 2025-06-03 10:27:31,676 basehttp 12760 6412 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:28:01,678 basehttp 12760 12320 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:28:01,681 middleware 12760 6412 API: GET /api/language-selector-config/
INFO 2025-06-03 10:28:01,692 basehttp 12760 6412 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:28:32,547 basehttp 12760 2324 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:28:32,552 middleware 12760 2124 API: GET /api/language-selector-config/
INFO 2025-06-03 10:28:32,568 basehttp 12760 2124 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:29:02,558 basehttp 12760 6504 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:29:02,566 middleware 12760 5084 API: GET /api/language-selector-config/
INFO 2025-06-03 10:29:02,586 basehttp 12760 5084 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:29:32,551 basehttp 12760 5556 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:29:32,560 middleware 12760 10620 API: GET /api/language-selector-config/
INFO 2025-06-03 10:29:32,572 basehttp 12760 10620 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:30:02,389 basehttp 12760 2600 "OPTIONS /api/evaluaciones/160/detalles/ HTTP/1.1" 200 0
INFO 2025-06-03 10:30:02,396 middleware 12760 11104 API: GET /api/evaluaciones/160/detalles/
INFO 2025-06-03 10:30:02,614 basehttp 12760 11104 "GET /api/evaluaciones/160/detalles/ HTTP/1.1" 200 2793
INFO 2025-06-03 10:30:02,722 basehttp 12760 2600 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:30:02,724 middleware 12760 11104 API: GET /api/language-selector-config/
INFO 2025-06-03 10:30:02,732 basehttp 12760 11104 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:30:02,732 basehttp 12760 9376 "OPTIONS /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 0
INFO 2025-06-03 10:30:02,774 middleware 12760 15052 API: POST /api/evaluaciones/160/inscribir/
INFO 2025-06-03 10:30:02,785 basehttp 12760 15052 "POST /api/evaluaciones/160/inscribir/ HTTP/1.1" 200 72
INFO 2025-06-03 10:30:03,312 basehttp 12760 9376 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:30:03,314 middleware 12760 15052 API: GET /api/language-selector-config/
INFO 2025-06-03 10:30:03,322 basehttp 12760 15052 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:30:33,336 basehttp 12760 12488 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
INFO 2025-06-03 10:30:33,343 middleware 12760 10888 API: GET /api/language-selector-config/
INFO 2025-06-03 10:30:33,353 basehttp 12760 10888 "GET /api/language-selector-config/ HTTP/1.1" 200 74
INFO 2025-06-03 10:31:03,324 basehttp 12760 8560 "OPTIONS /api/language-selector-config/ HTTP/1.1" 200 0
